,0,1,2,3,4,5
0,John Lasseter,Martin Scorsese,Mike Figgis,Louis Malle,Irvin Kershner,Tony Bancroft
1,Kevin Lima,Amy Heckerling,David Fincher,Jean-Marie Poiré,Stanley Kubrick,Hayao Miyazaki
2,John Pasquin,Ron Howard,Iain Softley,Jean-François Richet,Richard Attenborough,Brett Ratner
3,Nora Ephron,Michael Moore,Michael Apted,Vittorio De Sica,Sidney Lumet,Wong Kar-wai
4,Tom Hanks,Robert Zemeckis,Peter Jackson,Costa-Gavras,Richard Lester,Tsui Hark
5,Garry Marshall,Penelope Spheeris,Terry Gilliam,Florent-Emilio Siri,Robert Wise,John Woo
6,Wes Craven,Abel Ferrara,Steven Spielberg,Federico Fellini,Roger Corman,Corey Yuen Kwai
7,Sean McNamara,Jonathan Demme,Neil Jordan,Jean-Luc Godard,Arthur Penn,Robert Clouse
8,Dean Parisot,Rob Reiner,Jon Amiel,Mario Monicelli,Ken Russell,Stanley Tong
9,Tamra Davis,Francis Ford Coppola,Stephen Frears,Roberto Benigni,Peter Bogdanovich,Ronny Yu
10,Dennis Dugan,Woody Allen,D.J. Caruso,Francis Veber,Blake Edwards,Isao Takahata
11,Gary Trousdale,Oliver Stone,Sam Mendes,Luc Besson,Sidney J. Furie,Takashi Shimizu
12,Pete Docter,Warren Beatty,James Ivory,Wim Wenders,Robert Aldrich,Takashi Miike
13,Michael Lembeck,Joe Dante,Peter Hewitt,Bernardo Bertolucci,Robert Mulligan,Mamoru Oshii
14,Ron Clements,Howard Deutch,Jonathan Liebesman,Patrice Leconte,Carl Reiner,Gordon Chan
15,Andrew Stanton,Michael Ritchie,Kimberly Peirce,François Ozon,Norman Jewison,Danny Pang
16,Marcus Nispel,Richard Benjamin,Stephen Daldry,François Truffaut,Sydney Pollack,Zhang Yimou
17,Rob Minkoff,Donald Petrie,Alastair Fothergill,Gérard Krawczyk,George Roy Hill,Benny Chan
18,Joel Coen,Richard Donner,Brenda Chapman,Michelangelo Antonioni,Billy Wilder,Johnnie To
19,Brad Bird,Ivan Reitman,Tom Tykwer,Pitof,Stanley Donen,Andrew Lau
20,Troy Miller,Curtis Hanson,Paul Greengrass,Anne Fontaine,Stuart Rosenberg,Takeshi Kitano
21,Mark Dindal,Penny Marshall,Richard Ayoade,Paolo Sorrentino,Jeannot Szwarc,Sion Sono
22,Brian Robbins,Brian De Palma,Chris Columbus,Alain Resnais,John Frankenheimer,Akira Kurosawa
23,Jan Pinkava,Frank Darabont,Beeban Kidron,Laurent Tirard,John Ford,Jackie Chan
24,Walt Becker,John Schlesinger,Steve Barron,Alexandre de La Patellière,Elia Kazan,Yuen Woo-ping
